index	set	item	*item	rarity	lvl	lvl req	chrtransform	invtransform	invfile	flippyfile	dropsound	dropsfxframe	usesound	cost mult	cost add	add func	prop1	par1	min1	max1	prop2	par2	min2	max2	prop3	par3	min3	max3	prop4	par4	min4	max4	prop5	par5	min5	max5	prop6	par6	min6	max6	prop7	par7	min7	max7	prop8	par8	min8	max8	prop9	par9	min9	max9	aprop1a	apar1a	amin1a	amax1a	aprop1b	apar1b	amin1b	amax1b	aprop2a	apar2a	amin2a	amax2a	aprop2b	apar2b	amin2b	amax2b	aprop3a	apar3a	amin3a	amax3a	aprop3b	apar3b	amin3b	amax3b	aprop4a	apar4a	amin4a	amax4a	aprop4b	apar4b	amin4b	amax4b	aprop5a	apar5a	amin5a	amax5a	aprop5b	apar5b	amin5b	amax5b	*eol
Noble Shield	Squire's Adornments	lrg	Large Shield	3	3	3	lblu	lblu						5	30000	2	ac		120	120	block2		30	30	block		20	20	res-all		15	30																													dex		20	20																													0
Altar Belt	Squire's Adornments	mbl	Belt(M)	3	3	3	lblu	lblu						5	15000	2	ac		40	40	str		15	15	res-cold		30	30																									hp		40	40																																					0
Sage's Hands	Squire's Adornments	vgl	Heavy Gloves	3	3	3	lblu	lblu						5	12000	2	vit		15	15	dmg-fire		3	19	ac		35	35																									dex		10	10					swing2		20	20																													0
Tournament Bow	Maiden's Wear	am1	Stag Bow	3	3	3	lgld	lgld						5	50000	2	swing2		20	20	dmg/lvl	4			dmg-max		21	21	dmg-min		19	19	sock		1	2																	dex		10	10																																					0
Fowling Gloves	Maiden's Wear	mgl	Bracers(M)	3	3	3	dgld	dgld						5	35000	2	swing2		20	20	dex		25	25	res-cold		15	15																									hp		50	50																																					0
Wolfrun Hood	Pathfinder's Gear	dr1	Wolf Head	3	3	3	dblu	dblu						5	30000	2	dex		15	15	str		15	15	ac		25	25	dmg-max		7	7	dmg-min		3	3																	hp		40	40					res-cold		25	25																													0
Traveler's Bane	Pathfinder's Gear	stu	Studded Leather	3	3	3	dblu	dblu						5	45000	2	swing2		20	20	str		15	15	dmg-fire		9	45	ac		76	130																													dex		15	15																													0
Cattail Boots	Pathfinder's Gear	vbt	Heavy Boots	3	3	3	dblu	dblu						5	100000	2	ac		60	60	str		15	20	res-cold		20	20																																	res-fire		25	25																													0
Tree Harvester	Pathfinder's Gear	bar	Bardiche	3	3	3	lgld	lgld						5	50000	2	dmg/lvl	8			dmg-max		27	27	dmg-min		1	1	swing2		20	20	ac		135	160																	att		100	100																																					0
Sabretooth	Vagabond's Shade	ktr	Katar	3	3	3	lgld	lgld						5	15000	2	dmg/lvl	4			dmg-max		15	15	dmg-min		4	4	swing2		20	20	ac		47	78																	dmg-fire		6	11																																					0
Bloodfang	Vagabond's Shade	wrb	Wrist Blade	3	3	3	lgld	lgld						5	20000	2	dmg/lvl	8			dmg-max		23	23	dmg-min		6	6	swing2		20	20	ac		90	121																	dmg-ltng		1	98																																					0
Cryptwalkers Boots	Vagabond's Shade	hbt	Plate Boots	3	3	3								5	90000	2	ac		120	195	dmg-max		31	31	dmg-min		24	24	freeze		31	31	manasteal		2	8																	red-dmg%		7	7																																					0
Expansion 5																																																																																													0
Eleventh Mace	Angel's Celestial Embrace	7ma	Reinforced Mace	3	55	60	lgld	lgld						5	40000	2	dmg%		500	500	dmg-max		127	127	dmg-min		45	45	enr		90	90	swing3		60	60	oskill	Zeal	3	3	allskills		2	2	aura	Fanaticism	15	15					att/lvl	42							dmg-ltng		1	513																													0
Golden Maple Shield	Angel's Celestial Embrace	uml	Luna	3	55	60	lgld	lgld						5	25000	2	block2		45	45	block		55	55	enr		90	90	ac		500	500	sock		2	2	allskills		4	4	ac%		300	300	vit		90	90	aura	Defiance	22	22	red-dmg%		35	35					res-ltng		75	75	res-cold		30	30																									0
Grand Healer's Hat	Angel's Celestial Embrace	uap	Shako	3	55	60	bwht	bwht	invxapuw2					5	15000	2	ac		500	500	enr		80	80	mana/lvl	32			cast3		40	40	vit		80	80	hp/lvl	32			allskills		2	2									pierce-ltng		90	90	extra-ltng		300	300																																	0
Grand Healer's Cleats	Angel's Celestial Embrace	uvb	Scarabshell Boots	3	55	60	bwht		invxvbuw2					5	20000	2	ac		350	350	enr		80	80	mana%		40	40	move3		40	40	hp%		40	40	vit		80	80													hp		200	200					res-fire		75	75	res-ltng		40	40																									0
Grand Healer's Hands	Angel's Celestial Embrace	uvg	Vampirebone Gloves	3	55	60	bwht		invxvguw					5	15000	2	ac		275	275	enr		80	80	regen-mana		125	125	dmg-undead		500	500	dmg-demon		300	300	allskills		1	1													hp		100	100					res-cold		75	75	res-pois		30	30	res-pois-len		75	75																					0
Grand Healer's Necklace	Angel's Celestial Embrace	amu	Amulet	3	55	60	bwht		invamuuw8					5	20000	2	allskills		3	3	enr		95	95	mana		220	220	aura	Blessed Aim	17	17	ac%		100	100																	hp		125	125					res-pois		75	75																													0
Crimson Bilbo	Widower's Morbid Delight	7ls	Cryptic Sword	3	55	60	cred	cred						5	80000	2	allskills		3	3	swing3		50	50	res-fire		90	90	vit		95	95	enr		95	95	oskill	Zeal	9	9	dmg-fire		316	511	cast2		25	25	aura	Concentrate	22	22	hp		220	220					extra-fire		450	450	pierce-fire		125	125	crush		33	33																					0
Void Torque	Widower's Morbid Delight	amu	Amulet	3	55	60	blac		invamuuw7					5	30000	2	allskills		3	3	regen-mana		100	100	mana		200	200	enr		95	95	vit		45	45	aura	Meditation	13	13													hp		180	180	mana		180	180	cast3		30	30					res-ltng		75	75	extra-fire		250	250	pierce-fire		75	75													0
Advocate's Cover	Widower's Morbid Delight	uap	Shako	3	55	60	dgry		invxapuw					5	25000	2	allskills		3	3	hp/lvl	36			mana/lvl	36			red-mag		15	15	enr		95	95	vit		45	45													res-cold		30	30					pierce-fire		50	50	extra-fire		100	100	res-fire		50	50	res-cold		25	25																	0
Steele's Robe	Widower's Morbid Delight	uui	Dusk Shroud	3	55	60	dgry		invxuiuw					5	50000	2	fireskill		7	7	block		25	25	balance2		40	40	cast3		40	40	enr		95	95	allskills		2	2													oskill	Teleport	7	7					res-cold		50	50	extra-fire		450	450	pierce-fire		125	125																					0
Pyromancer's Cuffs	Widower's Morbid Delight	uvg	Vampirebone Gloves	3	55	60	dgry	dgry						5	20000	2	fireskill		3	3	cast3		25	25	enr		80	80	allskills		1	1	vit		35	35																	res-pois-len		75	75					res-pois		75	75	extra-fire		300	300	pierce-fire		100	100																					0
Mountain Soleas	Widower's Morbid Delight	uvb	Scarabshell Boots	3	55	60	dgry	dgry						5	20000	2	fireskill		3	3	enr		80	80	balance2		40	40	res-ltng		75	75	vit		35	35	allskills		1	1													hp		150	150	mp		150	150	res-all		45	45	extra-fire		125	125	pierce-fire		50	50																					0
